Model,Test Accuracy (%),Saved Path
SVM,90.0,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\SVM.pkl
KNN,90.0,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\KNN.pkl
Random Forest,90.0,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\Random_Forest.pkl
ANN,90.0,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\ANN.pkl
Gaussian NB,87.5,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\Gaussian_NB.pkl
XGBoost,87.5,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\XGBoost.pkl
LightGBM,87.5,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\LightGBM.pkl
Decision Tree,86.25,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\Decision_Tree.pkl
Logistic Regression,83.75,C:/Users/Amrutha Thalla/FSDS/DataScience_AI/Machine Learning/classifications/classification project\Logistic_Regression.pkl
